CREATED_ON	DATABASE_NAME	TABLE_NAME	DATA_TYPE	OBJECT_NAME	PREDICATE_NAME	TYPE_SUFFIX	INCLUDE_IN_VIEW	CHARACTER_MAXIMUM_LENGTH	CHARACTER_OCTET_LENGTH	NUMERIC_PRECISION	CHARACTER_SET_NAME	COLLATION_NAME	TOTAL_CARDINALITY	UNIQUE_CARDINALITY	UNIQUENESS_SCORE	TOTAL_UNIQUENESS_SCORE
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-ADDRESS_TYPE-TXTS	nvarchar	BSET_CRIME_STATS_CA	ADDRESS_TYPE	TXTS	1	400	800	NULL	UNICODE	SQL_Latin1_General_CP1_CI_AS	79002	4	0.005063163	0.005063163
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-ADDRESS-TXTS	nvarchar	BSET_CRIME_STATS_CA	ADDRESS	TXTS	1	400	800	NULL	UNICODE	SQL_Latin1_General_CP1_CI_AS	79001	10383	13.14287161	13.14270525
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-AGENCY_ID-INT	bigint	BSET_CRIME_STATS_CA	AGENCY_ID	INT	1	NULL	NULL	19	NULL	NULL	79002	1	0.001265791	0.001265791
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-CALL_DATE-DTM	datetime	BSET_CRIME_STATS_CA	CALL_DATE	DTM	1	NULL	NULL	NULL	NULL	NULL	79002	30	0.037973722	0.037973722
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-CITY-TXTS	nvarchar	BSET_CRIME_STATS_CA	CITY	TXTS	1	400	800	NULL	UNICODE	SQL_Latin1_General_CP1_CI_AS	79002	1	0.001265791	0.001265791
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-COMMON_LOCATION-TXTS	nvarchar	BSET_CRIME_STATS_CA	COMMON_LOCATION	TXTS	1	400	800	NULL	UNICODE	SQL_Latin1_General_CP1_CI_AS	6547	622	9.500534596	0.78732184
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-CRIME_ID-INT	bigint	BSET_CRIME_STATS_CA	CRIME_ID	INT	1	NULL	NULL	19	NULL	NULL	79002	79002	100	100
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-NARRATIVE-TXTS	nvarchar	BSET_CRIME_STATS_CA	NARRATIVE	TXTS	1	400	800	NULL	UNICODE	SQL_Latin1_General_CP1_CI_AS	79002	46030	58.26434774	58.26434774
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-OFFENSE_DATE-DTM	datetime	BSET_CRIME_STATS_CA	OFFENSE_DATE	DTM	1	NULL	NULL	NULL	NULL	NULL	79002	30	0.037973722	0.037973722
4/21/12 12:38 PM	BAL_LOCATION	BSET_CRIME_STATS_CA-ORIG_CRIMETYPE_NAME-TXTS	nvarchar	BSET_CRIME_STATS_CA	ORIG_CRIMETYPE_NAME	TXTS	1	400	800	NULL	UNICODE	SQL_Latin1_General_CP1_CI_AS	79002	109	0.137971191	0.137971191
