DATABASE_NAME	TABLE_NAME	OBJECT_NAME	PREDICATE_NAME	TYPE_SUFFIX	TOTAL_CARDINALITY	ORDER
BAL_WIKI_LEAK	BSET_AFGHAN_WAR_DIARY-LINE_NUMBER-INT	BSET_AFGHAN_WAR_DIARY	LINE_NUMBER	INT	46804	1
BAL_WIKI_LEAK	BSET_AFGHAN_WAR_DIARY-LATITUDE-FLT	BSET_AFGHAN_WAR_DIARY	LATITUDE	FLT	46804	2
BAL_WIKI_LEAK	BSET_AFGHAN_WAR_DIARY-LONGITUDE-FLT	BSET_AFGHAN_WAR_DIARY	LONGITUDE	FLT	46804	3
BAL_WIKI_LEAK	BSET_AFGHAN_WAR_DIARY-INCIDENT_DATE-DTM	BSET_AFGHAN_WAR_DIARY	INCIDENT_DATE	DTM	46709	4
BAL_WIKI_LEAK	BSET_AFGHAN_WAR_DIARY-INCIDENT_DATE-TXTS	BSET_AFGHAN_WAR_DIARY	INCIDENT_DATE	TXTS	95	5
BAL_WIKI_LEAK	BSET_AFGHAN_WAR_DIARY-EVENT_TEXT-TXTS	BSET_AFGHAN_WAR_DIARY	EVENT_TEXT	TXTS	5254	6
BAL_WIKI_LEAK	BSET_AFGHAN_WAR_DIARY-EVENT_TEXT-TXTL	BSET_AFGHAN_WAR_DIARY	EVENT_TEXT	TXTL	0	7
BAL_MEDICAL_CODE_SETS	BSET_BILL_TYPE_CODE-BILLTYPECODE-TXTS	BSET_BILL_TYPE_CODE	BILLTYPECODE	TXTS	8	1
BAL_MEDICAL_CODE_SETS	BSET_BILL_TYPE_CODE-DESCRIPTION-TXTS	BSET_BILL_TYPE_CODE	DESCRIPTION	TXTS	8	2
BAL_MEDICAL_CODE_SETS	BSET_BUNDLING_EDIT-PRIMARYCODE-TXTS	BSET_BUNDLING_EDIT	PRIMARYCODE	TXTS	305544	1
BAL_MEDICAL_CODE_SETS	BSET_BUNDLING_EDIT-SECONDARYCODE-TXTS	BSET_BUNDLING_EDIT	SECONDARYCODE	TXTS	305544	2
BAL_MEDICAL_CODE_SETS	BSET_BUNDLING_EDIT-MODALLOWED-TXTS	BSET_BUNDLING_EDIT	MODALLOWED	TXTS	305544	3
BAL_MEDICAL_CODE_SETS	BSET_BUNDLING_EDIT-DESCRIPTION-TXTS	BSET_BUNDLING_EDIT	DESCRIPTION	TXTS	305544	4
BAL_MEDICAL_CODE_SETS	BSET_BUNDLING_EDIT_MUTUAL_EXCLUDE-CODE1-TXTS	BSET_BUNDLING_EDIT_MUTUAL_EXCLUDE	CODE1	TXTS	2817	1
BAL_MEDICAL_CODE_SETS	BSET_BUNDLING_EDIT_MUTUAL_EXCLUDE-CODE2-TXTS	BSET_BUNDLING_EDIT_MUTUAL_EXCLUDE	CODE2	TXTS	2817	2
BAL_LOCATION	BSET_CRIME_STATS_CA-CRIME_ID-INT	BSET_CRIME_STATS_CA	CRIME_ID	INT	79002	1
BAL_LOCATION	BSET_CRIME_STATS_CA-ADDRESS-TXTS	BSET_CRIME_STATS_CA	ADDRESS	TXTS	79001	2
BAL_LOCATION	BSET_CRIME_STATS_CA-ADDRESS_NBR-TXTS	BSET_CRIME_STATS_CA	ADDRESS_NBR	TXTS	45961	3
BAL_LOCATION	BSET_CRIME_STATS_CA-ADDRESS_TYPE-TXTS	BSET_CRIME_STATS_CA	ADDRESS_TYPE	TXTS	79002	4
BAL_LOCATION	BSET_CRIME_STATS_CA-AGENCY_ID-INT	BSET_CRIME_STATS_CA	AGENCY_ID	INT	79002	5
BAL_LOCATION	BSET_CRIME_STATS_CA-CALL_DATE-DTM	BSET_CRIME_STATS_CA	CALL_DATE	DTM	79002	6
BAL_LOCATION	BSET_CRIME_STATS_CA-CITY-TXTS	BSET_CRIME_STATS_CA	CITY	TXTS	79002	7
BAL_LOCATION	BSET_CRIME_STATS_CA-COMMON_LOCATION-TXTS	BSET_CRIME_STATS_CA	COMMON_LOCATION	TXTS	6547	8
BAL_LOCATION	BSET_CRIME_STATS_CA-NARRATIVE-TXTS	BSET_CRIME_STATS_CA	NARRATIVE	TXTS	79002	9
BAL_LOCATION	BSET_CRIME_STATS_CA-OFFENSE_DATE-DTM	BSET_CRIME_STATS_CA	OFFENSE_DATE	DTM	79002	10
