wKey_Prefix	wKey_suffix
BSET_CRIME_STATS_DC-NID	INT
BSET_CRIME_STATS_DC-CCN	INT
BSET_CRIME_STATS_DC-REPORTDATETIME	DTM
BSET_CRIME_STATS_DC-SHIFT	TXT
BSET_CRIME_STATS_DC-OFFENSE	TXT
BSET_CRIME_STATS_DC-METHOD	TXT
BSET_CRIME_STATS_DC-LASTMODIFIEDDATE	DTM
BSET_CRIME_STATS_DC-BLOCKSITEADDRESS	TXT
BSET_CRIME_STATS_DC-NARRATIVE	TXT
BSET_CRIME_STATS_DC-LATITUDE	FLT
BSET_CRIME_STATS_DC-LONGITUDE	FLT
BSET_CRIME_STATS_DC-CITY	TXT
BSET_CRIME_STATS_DC-STATE	TXT
BSET_CRIME_STATS_DC-WARD	TXT
BSET_CRIME_STATS_DC-ANC	TXT
BSET_CRIME_STATS_DC-SMD	TXT
BSET_CRIME_STATS_DC-DISTRICT	TXT
BSET_CRIME_STATS_DC-PSA	TXT
BSET_CRIME_STATS_DC-NEIGHBORHOODCLUSTER	TXT
BSET_CRIME_STATS_DC-HOTSPOT2006NAME	TXT
BSET_CRIME_STATS_DC-HOTSPOT2005NAME	TXT
BSET_CRIME_STATS_DC-HOTSPOT2004NAME	TXT
BSET_CRIME_STATS_DC-BUSINESSIMPROVEMENTDISTRICT	TXT
BSET_CRIME_STATS_CA-ORIG_CRIMETYPE_NAME	TXT
BSET_CRIME_STATS_CA-CALL_DATE	DTM
BSET_CRIME_STATS_CA-REPORT_DATE	DTM
BSET_CRIME_STATS_CA-OFFENSE_DATE	DTM
BSET_CRIME_STATS_CA-NARRATIVE	TXT
BSET_CRIME_STATS_CA-ADDRESS_NBR	TXT
BSET_CRIME_STATS_CA-ADDRESS	TXT
BSET_CRIME_STATS_CA-CITY	TXT
BSET_CRIME_STATS_CA-STATE	TXT
BSET_CRIME_STATS_CA-AGENCY_ID	INT
BSET_CRIME_STATS_CA-ADDRESS_TYPE	TXT
BSET_CRIME_STATS_CA-COMMON_LOCATION	TXT
BSET_CRIME_STATS_CA-CRIME_ID	INT
BSET_ZIP_CODE_LOCATION-ZIPCODE	TXT
BSET_ZIP_CODE_LOCATION-LAT	FLT
BSET_ZIP_CODE_LOCATION-LONG	FLT
BSET_ZIP_CODE_LOCATION-CITY	TXT
BSET_ZIP_CODE_LOCATION-STATE	TXT
BSET_ZIP_CODE_LOCATION-COUNTY	TXT
BSET_ZIP_CODE_LOCATION-TYPE	TXT
BSET_ZIP_CODE_LOCATION-PREFERRED	TXT
BSET_ZIP_CODE_LOCATION-WORLDREGION	TXT
BSET_ZIP_CODE_LOCATION-COUNTRY	TXT
BSET_ZIP_CODE_LOCATION-LOCATIONTEXT	TXT
BSET_ZIP_CODE_LOCATION-LOCATION	TXT
BSET_ZIP_CODE_LOCATION-POPULATION	INT
BSET_ZIP_CODE_LOCATION-HOUSINGUNITS	INT
BSET_ZIP_CODE_LOCATION-INCOME	FLT
BSET_ZIP_CODE_LOCATION-LANDAREA	FLT
BSET_ZIP_CODE_LOCATION-WATERAREA	FLT
BSET_ZIP_CODE_LOCATION-DECOMMISIONED	TXT
BSET_ZIP_CODE_LOCATION-MILITARYRESTRICTIONCODES	TXT
BSET_DURABLE_MEDICAL_EQUIPMENT-YEAR	INT
BSET_DURABLE_MEDICAL_EQUIPMENT-HCPCS	TXT
BSET_DURABLE_MEDICAL_EQUIPMENT-MOD	TXT
BSET_DURABLE_MEDICAL_EQUIPMENT-MOD2	TXT
BSET_DURABLE_MEDICAL_EQUIPMENT-JURIS	TXT
BSET_DURABLE_MEDICAL_EQUIPMENT-CATG	TXT
BSET_DURABLE_MEDICAL_EQUIPMENT-CEILING	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-FLOOR	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-AL	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-AR	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-AZ	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-CA	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-CO	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-CT	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-DC	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-DE	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-FL	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-GA	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-IA	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-ID	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-IL	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-IN	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-KS	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-KY	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-LA	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-MA	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-MD	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-ME	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-MI	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-MN	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-MO	FLT
