Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	2									2	2		20181108191336
2	1									1	1		20181108191336
3	1									1	1		20181108191336
4	1									1	1		20181108191336
5	1									1	1		20181108191336
7	1									1	1		20181108191336
8	1									1	1		20181108191336
9	2									2	2		20181108191336
10	1									1	1		20181108191336
11	2									2	2		20181108191336
12	1									1	1		20181108191336
13	1									1	1		20181108191336
14	1									1	1		20181108191336
16	1									1	1		20181108191336
17	1									1	1		20181108191336
18	1									1	1		20181108191336
19	2									2	2		20181108191336
20	2									2	2		20181108191336
21	1									1	1		20181108191336
22	1									1	1		20181108191336
23	2									2	2		20181108191336
24	1									1	1		20181108191336
25	1									1	1		20181108191336
26	1									1	1		20181108191336
27	1									1	1		20181108191336
28	1									1	1		20181108191336
29	1									1	1		20181108191336
30	1									1	1		20181108191336
31	1									1	1		20181108191336
32	1									1	1		20181108191336
33	1									1	1		20181108191336
34	1									1	1		20181108191336
35	2									2	2		20181108191336
36	1									1	1		20181108191336
37	1									1	1		20181108191336
38	1									1	1		20181108191336
39	1									1	1		20181108191336
40	1									1	1		20181108191336
41	2									2	2		20181108191336
42	2									2	2		20181108191336
43	1									1	1		20181108191336
44	1									1	1		20181108191336
45	2									2	2		20181108191336
46	1									1	1		20181108191336
47	1									1	1		20181108191336
48	2									2	2		20181108191336
49	1									1	1		20181108191336
50	2									2	2		20181108191336
51	1									1	1		20181108191336
52	1									1	1		20181108191336
53	1									1	1		20181108191336
54	2									2	2		20181108191336
55	1									1	1		20181108191336
56	1									1	1		20181108191336
57	1									1	1		20181108191336
58	1									1	1		20181108191336
59	1									1	1		20181108191336
60	2									2	2		20181108191336
61	1									1	1		20181108191336
62	2									2	2		20181108191336
63	1									1	1		20181108191336
64	1									1	1		20181108191336
65	2									2	2		20181108191336
66	1									1	1		20181108191336
67	1									1	1		20181108191336
68	1									1	1		20181108191336
69	2									2	2		20181108191336
71	1									1	1		20181108191336
72	1									1	1		20181108191336
73	1									1	1		20181108191336
74	1									1	1		20181108191336
75	1									1	1		20181108191336
76	1									1	1		20181108191336
77	2									2	2		20181108191336
78	2									2	2		20181108191336
79	2									2	2		20181108191336
80	1									1	1		20181108191336
81	1									1	1		20181108191336
82	2									2	2		20181108191336
83	1									1	1		20181108191336
84	1									1	1		20181108191336
85	1									1	1		20181108191336
86	1									1	1		20181108191336
87	1									1	1		20181108191336
88	1									1	1		20181108191336
89	1									1	1		20181108191336
90	1									1	1		20181108191336
91	1									1	1		20181108191336
92	1									1	1		20181108191336
93	1									1	1		20181108191336
94	2									2	2		20181108191336
95	2									2	2		20181108191336
96	1									1	1		20181108191336
97	1									1	1		20181108191336
98	1									1	1		20181108191336
99	1									1	1		20181108191336
100	1									1	1		20181108191336
101	1									1	1		20181108191336
102	1									1	1		20181108191336
103	1									1	1		20181108191336
104	2									2	2		20181108191336
105	1									1	1		20181108191336
106	2									2	2		20181108191336
107	1									1	1		20181108191336
108	1									1	1		20181108191336
109	1									1	1		20181108191336
110	1									1	1		20181108191336
111	2									2	2		20181108191336
112	1									1	1		20181108191336
113	1									1	1		20181108191336
114	1									1	1		20181108191336
115	1									1	1		20181108191336
116	1									1	1		20181108191336
117	1									1	1		20181108191336
120	2									2	2		20181108191336
121	1									1	1		20181108191336
122	1									1	1		20181108191336
123	1									1	1		20181108191336
124	1									1	1		20181108191336
125	1									1	1		20181108191336
126	1									1	1		20181108191336
127	1									1	1		20181108191336
128	2									2	2		20181108191336
129	1									1	1		20181108191336
130	1									1	1		20181108191336
131	2									2	2		20181108191336
132	2									2	2		20181108191336
133	2									2	2		20181108191336
134	1									1	1		20181108191336
135	1									1	1		20181108191336
136	1									1	1		20181108191336
137	1									1	1		20181108191336
138	1									1	1		20181108191336
139	1									1	1		20181108191336
140	1									1	1		20181108191336
141	1									1	1		20181108191336
142	1									1	1		20181108191336
143	2									2	2		20181108191336
144	2									2	2		20181108191336
145	1									1	1		20181108191336
146	1									1	1		20181108191336
147	1									1	1		20181108191336
148	1									1	1		20181108191336
149	1									1	1		20181108191336
150	1									1	1		20181108191336
151	2									2	2		20181108191336
152	1									1	1		20181108191336
153	1									1	1		20181108191336
154	1									1	1		20181108191336
156	1									1	1		20181108191336
157	1									1	1		20181108191336
158	1									1	1		20181108191336
159	1									1	1		20181108191336
160	1									1	1		20181108191336
161	1									1	1		20181108191336
163	1									1	1		20181108191336
164	1									1	1		20181108191336
165	1									1	1		20181108191336
166	1									1	1		20181108191336
167	1									1	1		20181108191336
168	1									1	1		20181108191336
169	2									2	2		20181108191336
170	1									1	1		20181108191336
171	2									2	2		20181108191336
172	1									1	1		20181108191336
173	1									1	1		20181108191336
174	1									1	1		20181108191336
175	1									1	1		20181108191336
176	1									1	1		20181108191336
177	2									2	2		20181108191336
178	2									2	2		20181108191336
179	1									1	1		20181108191336
180	1									1	1		20181108191336
181	1									1	1		20181108191336
182	1									1	1		20181108191336
183	1									1	1		20181108191336
184	1									1	1		20181108191336
185	1									1	1		20181108191336
187	1									1	1		20181108191336
188	2									2	2		20181108191336
189	1									1	1		20181108191336
190	1									1	1		20181108191336
191	1									1	1		20181108191336
192	1									1	1		20181108191336
193	2									2	2		20181108191336
194	1									1	1		20181108191336
195	1									1	1		20181108191336
196	1									1	1		20181108191336
197	1									1	1		20181108191336
198	1									1	1		20181108191336
199	1									1	1		20181108191336
200	2									2	2		20181108191336
201	2									2	2		20181108191336
202	1									1	1		20181108191336
203	1									1	1		20181108191336
204	1									1	1		20181108191336
205	1									1	1		20181108191336
207	2									2	2		20181108191336
208	1									1	1		20181108191336
209	1									1	1		20181108191336
210	1									1	1		20181108191336
211	1									1	1		20181108191336
212	1									1	1		20181108191336
213	1									1	1		20181108191336
214	2									2	2		20181108191337
215	1									1	1		20181108191337
216	1									1	1		20181108191337
217	1									1	1		20181108191337
218	1									1	1		20181108191337
220	2									2	2		20181108191337
221	2									2	2		20181108191337
222	1									1	1		20181108191337
223	1									1	1		20181108191337
224	2									2	2		20181108191337
225	1									1	1		20181108191337
226	1									1	1		20181108191337
227	1									1	1		20181108191337
228	1									1	1		20181108191337
229	1									1	1		20181108191337
230	2									2	2		20181108191337
231	1									1	1		20181108191337
232	2									2	2		20181108191337
233	1									1	1		20181108191337
234	1									1	1		20181108191337
235	1									1	1		20181108191337
236	1									1	1		20181108191337
237	1									1	1		20181108191337
238	2									2	2		20181108191337
239	2									2	2		20181108191337
240	1									1	1		20181108191337
241	1									1	1		20181108191337
242	1									1	1		20181108191337
243	1									1	1		20181108191337
244	2									2	2		20181108191337
245	1									1	1		20181108191337
246	1									1	1		20181108191337
247	1									1	1		20181108191337
248	1									1	1		20181108191337
249	1									1	1		20181108191337
250	1									1	1		20181108191337
252	1									1	1		20181108191337
253	1									1	1		20181108191337
254	1									1	1		20181108191337
255	1									1	1		20181108191337
256	1									1	1		20181108191337
257	1									1	1		20181108191337
258	1									1	1		20181108191337
259	2									2	2		20181108191337
260	1									1	1		20181108191337
261	1									1	1		20181108191337
262	1									1	1		20181108191337
263	1									1	1		20181108191337
264	1									1	1		20181108191337
265	1									1	1		20181108191337
266	1									1	1		20181108191337
267	1									1	1		20181108191337
