Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
78	MUTUAL OF OMAHA												20181108192038
81	NATIONWIDE												20181108192038
302	BWC												20181108192039
334	SENTARA												20181108192039
511	MEDICA												20181108192040
622	TRIPLE S												20181108192040
659	MILITARY HEALTHCARE SERV												20181108192040
669	ANTHEM												20181108192040
682	DELAWARE PHYSICIANS CARE												20181108192040
693	NATIONAL SUPPLIERS CLEARINGHOUSE												20181108192040
709	CALIFORNIA LIC												20181108192040
721	AMERIGROUP TEXAS												20181108192040
1040	OHIO BUREAU WORK COMP												20181108192041
1049	RAILROAD MCR #												20181108192041
1050	CIGNA PROV ID												20181108192041
1061	1ST HEALTH PLAN												20181108192041
1083	HEALTHCARE PREFERRED												20181108192041
1100	OXFORD												20181108192041
1106	UNITED HEALTH CARE												20181108192041
1158	STATE LICENSE #												20181108192041
1242	MEDICAL LICENSE												20181108192041
1255	CGP CIGNA PPO												20181108192041
1308	RAILRAOD MEDICARE												20181108192042
1350	AETNA - HMO												20181108192042
1414	MEDICA PRIMARY												20181108192042
1431	TAX ID GROUP NUMBER												20181108192042
1446	OXFORD												20181108192042
1474	PALMETTO												20181108192042
1489	HORIZON BLUE CROSS/SHIELD												20181108192042
1495	VISION SERVICE PLAN												20181108192042
1560	BLUE CROSS BLUE SHIELD												20181108192042
1607	BLUE CROSS/BLUE SHIELD												20181108192042
1618	AETNA HEALTH PLANS												20181108192042
1663	MEDICARE GROUP												20181108192042
1805	CIGNA - NAWCC												20181108192043
1807	AETNA NON HMO												20181108192043
1910	HEALTHESE MCD PROV ID #												20181108192043
1913	HORIZON BCBS												20181108192043
1921	CMR												20181108192043
1956	AETNA WC INDIVIDUAL												20181108192043
1975	TUFTS												20181108192043
