Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
63	JR.												20181108191331
110	III												20181108191331
149	JR.												20181108191331
185	III												20181108191331
189	JR.												20181108191331
213	III												20181108191331
251	JR.												20181108191331
293	III												20181108191332
303	JR.												20181108191332
370	JR.												20181108191332
473	JR.												20181108191332
485	JR.												20181108191332
518	SR.												20181108191332
549	SR.												20181108191332
582	JR.												20181108191332
607	JR.												20181108191332
863	JR.												20181108191333
918	III												20181108191333
926	JR.												20181108191333
956	JR.												20181108191333
977	III												20181108191333
988	JR.												20181108191333
1121	JR.												20181108191334
1129	JR.												20181108191334
1136	III												20181108191334
1208	JR.												20181108191334
1266	III												20181108191334
1335	JR.												20181108191334
1368	I												20181108191334
1383	JR.												20181108191334
1427	JR.												20181108191334
1445	JR.												20181108191335
1510	II												20181108191335
1539	JR.												20181108191335
1568	III												20181108191335
1572	JR.												20181108191335
1599	JR.												20181108191335
1601	JR.												20181108191335
1616	IV												20181108191335
1618	III												20181108191335
1670	III												20181108191335
1717	JR.												20181108191335
1719	II												20181108191335
1725	JR.												20181108191335
1785	III												20181108191335
1797	JR.												20181108191335
1849	JR.												20181108191336
1851	JR.												20181108191336
1880	JR.												20181108191336
1912	JR.												20181108191336
1916	JR.												20181108191336
