Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
95	DR.												20181108191331
128	DR.												20181108191331
137	DR.												20181108191331
264	DR.												20181108191331
267	DR.												20181108191331
336	DR.												20181108191332
399	DR.												20181108191332
412	DR.												20181108191332
454	DR.												20181108191332
605	DR.												20181108191332
646	DR.												20181108191332
713	DR.												20181108191333
722	MS.												20181108191333
737	DR.												20181108191333
816	DR.												20181108191333
864	DR.												20181108191333
895	DR.												20181108191333
1184	DR.												20181108191334
1249	DR.												20181108191334
1270	DR.												20181108191334
1415	MS.												20181108191334
1442	MS.												20181108191335
1449	MISS												20181108191335
1546	DR.												20181108191335
1601	DR.												20181108191335
1653	DR.												20181108191335
1682	DR.												20181108191335
1919	MR.												20181108191336
