Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
8	PRESIDENT												20181108191325
11	ADMINISTRATOR												20181108191325
20	VICE PRESIDENT												20181108191325
28	PRESIDENT AND CEO												20181108191325
31	BUSINESS MANAGER												20181108191325
32	CREDENTIALING MANAGER												20181108191325
38	CHIEF OPERATING OFFICER												20181108191325
50	CHIEF COMPLIANCE OFFICER												20181108191325
51	VICE PRESIDENT												20181108191325
55	CEO												20181108191325
56	FIRE CHIEF												20181108191325
57	ASSISTANT ADMINISTRATOR												20181108191325
61	OFFICE MANAGER												20181108191325
72	OWNER/PHYSICIAN												20181108191326
74	OWNER/PT												20181108191326
75	DIRECTOR OF ACCOUNTING												20181108191326
79	CEO												20181108191326
91	OFFICE MANAGER												20181108191326
99	EXECUTIVE DIRECTOR												20181108191326
102	SENIOR VICE PRESIDENT												20181108191326
106	CONTRACTING MANAGER												20181108191326
130	CHIEF OPERATING OFFICER												20181108191326
133	PRESIDENT												20181108191326
136	MANAGER												20181108191326
146	CFO/EVP/TREASURER												20181108191326
148	CEO												20181108191326
156	EXECUTIVE DIRECTOR												20181108191326
157	OFFICE ADMINISTRATOR												20181108191326
164	PRESIDENT												20181108191326
167	CEO												20181108191326
176	CHIEF												20181108191326
180	OWNER/PHYSICIAN												20181108191326
187	SENIOR VICE PRESIDENT												20181108191326
198	PRESIDENT CEO												20181108191326
201	EXECUTIVE DIRECTOR												20181108191326
203	SENIOR VICE PRESIDENT												20181108191326
207	EMS DIRECTOR												20181108191326
228	SENIOR VICE PRESIDENT												20181108191326
232	PRESIDENT/CHIEF EXECUTIVE OFFICER												20181108191326
242	PRESIDENT												20181108191326
254	PRESIDENT												20181108191326
257	LABORATORY DIRECTOR												20181108191326
263	CEO												20181108191326
267	VP OF FINANCE												20181108191326
273	C.E.O.												20181108191326
275	VP, OPERATIONS												20181108191326
277	PRESIDENT CEO												20181108191326
278	ADMINISTRATIVE ASSISTANT												20181108191326
279	MANAGING PARTNER												20181108191326
284	FACILITY DIRECTOR												20181108191326
288	OWNER/ADMINISTRATOR												20181108191326
292	C.E.O.												20181108191326
296	DIRECTOR												20181108191326
301	DIRECTOR												20181108191326
309	PRESIDENT/CEO												20181108191326
318	PRESIDENT												20181108191326
332	PRESIDENT												20181108191326
339	OFFICE MANAGER												20181108191326
345	OFFICE MANAGER												20181108191326
346	PRESIDENT												20181108191326
349	PRESIDENT & CEO												20181108191326
358	OWNER OPHTHALMOLOGIST												20181108191326
378	ADMINISTRATOR												20181108191326
385	ADMINISTRATOR												20181108191326
389	VP FINANCE												20181108191326
407	CFO												20181108191326
411	ADMINISTRATOR												20181108191326
419	PHARMACIST												20181108191326
422	CEO												20181108191326
423	PRESIDENT												20181108191326
436	CEO												20181108191326
438	MEDICAL DIRECTOR												20181108191326
448	REGIONAL OFFICE MANAGER												20181108191327
458	EXECUTIVE DIRECTOR												20181108191327
460	CEO												20181108191327
463	VP, GOVERNMENTAL FINANCE												20181108191327
468	VICE PRESIDENT												20181108191327
476	OWNER												20181108191327
491	MEDICAL DIRECTOR												20181108191327
492	CHIEF FINANCIAL OFFICER												20181108191327
499	OWNER AND DOCTOR OF PHARMACOLOGY												20181108191327
507	VICE PRES ADMINISTRATA												20181108191327
515	OFFICE MANAGER												20181108191327
517	CEO/PRESIDENT												20181108191327
526	CEO												20181108191327
531	DIRECTOR OF FINANCE												20181108191327
534	ASSISTANT OFFICE MANAGER												20181108191327
537	OWNER												20181108191327
541	PROGRAM DIRECTOR												20181108191327
549	PRESIDENT												20181108191327
558	ACCOUNTS RECEIVABLE MANAGER												20181108191327
578	CENTER MANAGER												20181108191327
581	SR. DIRECTOR, PHYSICIAN BUSINESS SE												20181108191327
586	ADMINISTRATIVE ASSISTANT/CREDENTIAL												20181108191327
587	OWNER												20181108191327
589	EXECUTIVE DIRECTOR												20181108191327
596	VP-FINANCE												20181108191327
613	PRESIDENT												20181108191327
617	OWNER												20181108191327
620	PRESIDENT/ADMINISTRATOR												20181108191327
621	COO												20181108191327
627	CORPORATE PRESIDENT												20181108191327
635	FINANCE CONTROLLER												20181108191327
651	CFO/EVP/TREASURER												20181108191327
652	SENIOR VICE PRESIDENT AND CFO												20181108191327
654	BILLING CLERK												20181108191327
659	PRESIDENT												20181108191327
668	CEO/PRESIDENT												20181108191327
672	DIRECTOR PHYSICIAN OPERATIONS												20181108191327
681	DIRECTOR OF FINANCE												20181108191327
682	HR/IT MANAGER												20181108191327
692	EXECUTIVE DIRECTOR												20181108191327
695	CEO												20181108191327
696	DIRECTOR/ADMINISTRATOR												20181108191327
698	DIRECTOR OF FINANCE												20181108191327
699	PRESIDENT												20181108191327
701	OWNER AND PRESIDENT												20181108191327
704	OWNER/PRESIDENT												20181108191327
713	SECRETARY												20181108191327
722	ADMINISTRATOR												20181108191327
731	PRESIDENT												20181108191327
737	PRESIDENT												20181108191327
739	VICE PRESIDENT & SECRETARY												20181108191327
749	VP OF BENEFITS AND RECEIVABLES												20181108191327
754	PRESIDENT/OWNER												20181108191327
756	OWNER												20181108191327
762	MANAGER												20181108191327
769	CLINIC ADMINISTRATOR												20181108191327
785	CEO												20181108191327
787	VP OF FINANCE												20181108191327
796	PRESIDENT												20181108191327
798	PRESIDENT												20181108191327
800	PRESIDENT												20181108191327
803	PRESIDENT												20181108191327
807	DIRECTOR OF FINANCE												20181108191327
809	CEO/OWNER												20181108191327
813	CONTROLLER												20181108191328
823	PRESIDENT												20181108191328
826	SUPERVISING PHARMACIST												20181108191328
832	PARTNER												20181108191328
837	OWNER												20181108191328
843	CITY MANAGER												20181108191328
844	PRESIDENT/ADMINISTRATOR												20181108191328
846	CEO												20181108191328
849	MEDICAL DIRECTOR												20181108191328
852	CHIEF INFORMATION OFFICER												20181108191328
857	OWNER												20181108191328
881	CORP BILLER												20181108191328
882	PRESIDENT												20181108191328
883	GENERAL COUNSEL												20181108191328
892	CFO												20181108191328
897	DRO												20181108191328
911	DENTIST												20181108191328
923	CEO												20181108191328
930	ADMINISTRATOR												20181108191328
935	ADMINISTRATOR												20181108191328
936	ADMINISTRATOR												20181108191328
938	SR. VICE PRESIDENT - FINANCE												20181108191328
950	PRESIDENT												20181108191328
955	CEO												20181108191328
960	PRESIDENT												20181108191328
