Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
36	1									1	1		20181108191336
81	1									1	1		20181108191336
105	5									5	5		20181108191336
136	2									2	2		20181108191336
138	1									1	1		20181108191336
150	5									5	5		20181108191336
192	1									1	1		20181108191336
229	5									5	5		20181108191337
271	5									5	5		20181108191337
276	1									1	1		20181108191337
329	5									5	5		20181108191337
366	1									1	1		20181108191337
376	5									5	5		20181108191337
396	1									1	1		20181108191337
398	5									5	5		20181108191337
409	2									2	2		20181108191337
457	5									5	5		20181108191337
473	2									2	2		20181108191337
481	1									1	1		20181108191337
512	2									2	2		20181108191337
542	5									5	5		20181108191337
602	2									2	2		20181108191338
633	1									1	1		20181108191338
749	2									2	2		20181108191338
883	1									1	1		20181108191338
978	1									1	1		20181108191338
999	1									1	1		20181108191339
1047	5									5	5		20181108191339
1086	1									1	1		20181108191339
1094	2									2	2		20181108191339
1119	1									1	1		20181108191339
1174	5									5	5		20181108191339
1216	1									1	1		20181108191339
1315	2									2	2		20181108191339
1326	1									1	1		20181108191339
1400	1									1	1		20181108191340
1409	2									2	2		20181108191340
1457	2									2	2		20181108191340
1471	5									5	5		20181108191340
1482	1									1	1		20181108191340
1526	2									2	2		20181108191340
1570	5									5	5		20181108191340
1646	5									5	5		20181108191340
1682	1									1	1		20181108191340
1735	1									1	1		20181108191340
1742	1									1	1		20181108191340
1777	1									1	1		20181108191341
1802	1									1	1		20181108191341
1823	5									5	5		20181108191341
1844	2									2	2		20181108191341
1854	1									1	1		20181108191341
1862	1									1	1		20181108191341
1865	5									5	5		20181108191341
1867	5									5	5		20181108191341
1875	5									5	5		20181108191341
1901	1									1	1		20181108191341
1913	5									5	5		20181108191341
1939	5									5	5		20181108191341
1967	1									1	1		20181108191341
1971	1									1	1		20181108191341
1985	1									1	1		20181108191341
