Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
8	N												20181108191325
105	X												20181108191326
358	N												20181108191326
581	N												20181108191327
586	N												20181108191327
672	N												20181108191327
910	Y												20181108191328
1134	N												20181108191328
1334	Y												20181108191329
1583	Y												20181108191330
1610	N												20181108191330
1648	N												20181108191330
1797	Y												20181108191330
1816	Y												20181108191330
1997	X												20181108191331
