Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
3	RENAE												20181108191331
5	G.												20181108191331
24	B												20181108191331
29	C.												20181108191331
55	J.												20181108191331
57	D												20181108191331
83	C												20181108191331
90	L.												20181108191331
98	BART												20181108191331
109	A												20181108191331
151	J												20181108191331
154	J.												20181108191331
174	R												20181108191331
195	T												20181108191331
217	LOUISE												20181108191331
222	R												20181108191331
232	E.												20181108191331
234	NEIL												20181108191331
243	J												20181108191331
249	RENEE												20181108191331
250	FRANK												20181108191331
254	J												20181108191331
255	MICHELLE												20181108191331
272	J												20181108191331
277	D												20181108191331
300	PARKER												20181108191332
307	I												20181108191332
314	J												20181108191332
332	R												20181108191332
347	J												20181108191332
349	DON												20181108191332
350	MERLE												20181108191332
358	M.												20181108191332
362	T.												20181108191332
407	S												20181108191332
408	R.												20181108191332
424	MERLE												20181108191332
425	JOSEPH												20181108191332
438	BETH												20181108191332
455	M.												20181108191332
462	F.												20181108191332
480	S												20181108191332
486	ELIZABETH												20181108191332
491	A												20181108191332
527	B												20181108191332
540	G												20181108191332
557	K												20181108191332
563	E												20181108191332
571	J												20181108191332
585	L												20181108191332
591	LEWIS												20181108191332
625	R												20181108191332
627	LYNN												20181108191332
633	BERNARD												20181108191332
644	E												20181108191332
655	JOSEPH												20181108191332
672	A												20181108191332
682	H												20181108191333
683	GILMARTIN												20181108191333
685	E												20181108191333
687	E.												20181108191333
708	C												20181108191333
719	P												20181108191333
727	ANN												20181108191333
735	W												20181108191333
746	E												20181108191333
751	A												20181108191333
752	M												20181108191333
769	KAY												20181108191333
792	BRETT												20181108191333
798	E												20181108191333
822	J.												20181108191333
831	M.												20181108191333
843	J												20181108191333
846	THOMAS												20181108191333
852	B												20181108191333
862	E												20181108191333
873	GAYLE												20181108191333
880	J												20181108191333
884	H.												20181108191333
892	L												20181108191333
894	J.												20181108191333
896	ELLEN												20181108191333
908	D												20181108191333
909	M.												20181108191333
931	TODD												20181108191333
948	E												20181108191333
950	M												20181108191333
958	S.												20181108191333
961	E												20181108191333
963	THOMAS												20181108191333
965	NASH												20181108191333
981	L.												20181108191333
1023	JAMES												20181108191333
1026	WILLIAM												20181108191333
1030	L												20181108191333
1033	W												20181108191333
1038	P												20181108191333
1056	A												20181108191334
1058	R												20181108191334
1079	LAMAR												20181108191334
1091	A												20181108191334
1098	ELLEN												20181108191334
1099	JAMES												20181108191334
1108	E												20181108191334
1116	SUE												20181108191334
1126	M												20181108191334
1147	J.												20181108191334
1157	W												20181108191334
1161	M												20181108191334
1183	DILLON												20181108191334
1192	SALVATORE												20181108191334
1195	L												20181108191334
1198	M												20181108191334
1201	SCOTT												20181108191334
1216	L												20181108191334
1229	SMITH												20181108191334
1241	L												20181108191334
1246	L												20181108191334
1250	A												20181108191334
1256	M												20181108191334
1284	R.												20181108191334
1340	PAUL												20181108191334
1355	FRANCIS												20181108191334
1378	ROBERT												20181108191334
1379	LAWRENCE												20181108191334
1392	MARLO												20181108191334
1406	J												20181108191334
1412	DAVID												20181108191334
1421	J												20181108191334
1450	M												20181108191335
1483	KALU												20181108191335
1484	ANDREW												20181108191335
1487	ALAN												20181108191335
1492	L												20181108191335
1507	B.												20181108191335
1524	G												20181108191335
1532	GAYLE												20181108191335
1552	KENNETH												20181108191335
1563	ZIAD												20181108191335
1573	R												20181108191335
1574	KNOX												20181108191335
1584	J												20181108191335
1596	SUSAN												20181108191335
1607	T												20181108191335
1608	M												20181108191335
1622	DAVID												20181108191335
1625	MARIE												20181108191335
1627	V												20181108191335
1645	E												20181108191335
1650	P.												20181108191335
1665	V												20181108191335
1693	E												20181108191335
1705	MILLER												20181108191335
1724	A												20181108191335
1764	J												20181108191335
1787	LYNN												20181108191335
1788	R.												20181108191335
1793	G												20181108191335
1818	K.												20181108191335
1822	NONE												20181108191335
1828	MAE												20181108191335
1832	D												20181108191335
1834	JOHN												20181108191336
1841	D												20181108191336
1853	M												20181108191336
1865	L												20181108191336
1874	ANN												20181108191336
1897	P												20181108191336
1904	D												20181108191336
1909	B												20181108191336
1927	CLAYTON												20181108191336
1936	JOSEPH												20181108191336
1949	M												20181108191336
1951	Y												20181108191336
1985	B.												20181108191336
