Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
5	193400000X SINGLE SPECIALTY  GROUP												20181108191331
17	193400000X SINGLE SPECIALTY  GROUP												20181108191331
22	193400000X SINGLE SPECIALTY  GROUP												20181108191331
48	193400000X SINGLE SPECIALTY  GROUP												20181108191331
51	193200000X MULTI-SPECIALTY GROUP												20181108191331
83	193400000X SINGLE SPECIALTY  GROUP												20181108191331
90	193200000X MULTI-SPECIALTY GROUP												20181108191331
108	193400000X SINGLE SPECIALTY  GROUP												20181108191331
135	193400000X SINGLE SPECIALTY  GROUP												20181108191331
222	193200000X MULTI-SPECIALTY GROUP												20181108191331
234	193200000X MULTI-SPECIALTY GROUP												20181108191331
300	193400000X SINGLE SPECIALTY  GROUP												20181108191332
307	193400000X SINGLE SPECIALTY  GROUP												20181108191332
317	193200000X MULTI-SPECIALTY GROUP												20181108191332
335	193200000X MULTI-SPECIALTY GROUP												20181108191332
424	193400000X MULTIPLE SINGLE SPECIALTY GROUP												20181108191332
489	193400000X SINGLE SPECIALTY  GROUP												20181108191332
491	193400000X MULTIPLE SINGLE SPECIALTY GROUP												20181108191332
530	193400000X SINGLE SPECIALTY  GROUP												20181108191332
563	193200000X MULTI-SPECIALTY GROUP												20181108191332
615	193400000X MULTIPLE SINGLE SPECIALTY GROUP												20181108191332
625	193400000X SINGLE SPECIALTY  GROUP												20181108191332
647	193400000X SINGLE SPECIALTY  GROUP												20181108191332
649	193200000X MULTI-SPECIALTY GROUP												20181108191332
682	193400000X SINGLE SPECIALTY  GROUP												20181108191333
683	193400000X SINGLE SPECIALTY  GROUP												20181108191333
687	193400000X SINGLE SPECIALTY  GROUP												20181108191333
708	193400000X SINGLE SPECIALTY  GROUP												20181108191333
735	193400000X SINGLE SPECIALTY  GROUP												20181108191333
751	193200000X MULTI-SPECIALTY GROUP												20181108191333
783	193200000X MULTI-SPECIALTY GROUP												20181108191333
785	193400000X SINGLE SPECIALTY  GROUP												20181108191333
877	193200000X MULTI-SPECIALTY GROUP												20181108191333
884	193200000X MULTI-SPECIALTY GROUP												20181108191333
892	193400000X SINGLE SPECIALTY  GROUP												20181108191333
896	193200000X MULTI-SPECIALTY GROUP												20181108191333
897	193400000X SINGLE SPECIALTY  GROUP												20181108191333
903	193400000X SINGLE SPECIALTY  GROUP												20181108191333
909	193400000X SINGLE SPECIALTY  GROUP												20181108191333
931	193400000X MULTIPLE SINGLE SPECIALTY GROUP												20181108191333
937	193400000X SINGLE SPECIALTY  GROUP												20181108191333
958	193400000X MULTIPLE SINGLE SPECIALTY GROUP												20181108191333
1007	193400000X SINGLE SPECIALTY  GROUP												20181108191333
1012	193200000X MULTI-SPECIALTY GROUP												20181108191333
1019	193200000X MULTI-SPECIALTY GROUP												20181108191333
1023	193400000X SINGLE SPECIALTY  GROUP												20181108191333
1030	193400000X SINGLE SPECIALTY  GROUP												20181108191333
1031	193400000X SINGLE SPECIALTY  GROUP												20181108191333
1034	193200000X MULTI-SPECIALTY GROUP												20181108191333
1056	193400000X MULTIPLE SINGLE SPECIALTY GROUP												20181108191334
1061	193200000X MULTI-SPECIALTY GROUP												20181108191334
1089	193200000X MULTI-SPECIALTY GROUP												20181108191334
1098	193200000X MULTI-SPECIALTY GROUP												20181108191334
1126	193400000X SINGLE SPECIALTY  GROUP												20181108191334
1192	193200000X MULTI-SPECIALTY GROUP												20181108191334
1241	193200000X MULTI-SPECIALTY GROUP												20181108191334
1273	193400000X MULTIPLE SINGLE SPECIALTY GROUP												20181108191334
1284	193400000X SINGLE SPECIALTY  GROUP												20181108191334
1290	193400000X SINGLE SPECIALTY  GROUP												20181108191334
1310	193400000X SINGLE SPECIALTY  GROUP												20181108191334
1313	193400000X SINGLE SPECIALTY  GROUP												20181108191334
1340	193200000X MULTI-SPECIALTY GROUP												20181108191334
1395	193400000X SINGLE SPECIALTY  GROUP												20181108191334
1436	193400000X SINGLE SPECIALTY  GROUP												20181108191334
1450	193200000X MULTI-SPECIALTY GROUP												20181108191335
1488	193200000X MULTI-SPECIALTY GROUP												20181108191335
1518	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1532	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1552	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1555	193200000X MULTI-SPECIALTY GROUP												20181108191335
1563	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1574	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1607	193200000X MULTI-SPECIALTY GROUP												20181108191335
1608	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1639	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1650	193400000X MULTIPLE SINGLE SPECIALTY GROUP												20181108191335
1665	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1707	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1745	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1747	193200000X MULTI-SPECIALTY GROUP												20181108191335
1751	193400000X MULTIPLE SINGLE SPECIALTY GROUP												20181108191335
1818	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1825	193200000X MULTI-SPECIALTY GROUP												20181108191335
1828	193400000X SINGLE SPECIALTY  GROUP												20181108191335
1882	193400000X SINGLE SPECIALTY  GROUP												20181108191336
1936	193400000X SINGLE SPECIALTY  GROUP												20181108191336
